iter	Logloss
0	0.6898183526
1	0.6864081818
2	0.682985054
3	0.6800852622
4	0.6767200752
5	0.673447243
6	0.6704656604
7	0.6674303801
8	0.6641949766
9	0.6612147242
10	0.6580196569
11	0.6551684394
12	0.6524849094
13	0.6494541256
14	0.646471401
15	0.6441183075
16	0.6413899982
17	0.6384760545
18	0.6355689072
19	0.6326494496
20	0.6302335484
21	0.6278926843
22	0.6252997487
23	0.6229460508
24	0.6204115323
25	0.617823803
26	0.6153245898
27	0.6130476377
28	0.6109080964
29	0.6090156939
30	0.6068959832
31	0.60495372
32	0.6027625872
33	0.6006192384
34	0.5986235576
35	0.5967107054
36	0.5947202059
37	0.592665883
38	0.5903599531
39	0.5881787194
40	0.5860484864
41	0.5840220094
42	0.5821558303
43	0.5799466157
44	0.5783315659
45	0.5764655904
46	0.5742445067
47	0.5725459308
48	0.5708447505
49	0.5690355842
50	0.5674165239
51	0.5655992366
52	0.563919787
53	0.5624373096
54	0.5607048589
55	0.5591570236
56	0.5575720447
57	0.55597199
58	0.5543069802
59	0.5527113254
60	0.5511443035
61	0.5496515982
62	0.5482348224
63	0.5469697778
64	0.5458853885
65	0.544396732
66	0.5429990042
67	0.5413555503
68	0.5399422881
69	0.5384560963
70	0.5371228562
71	0.5357596086
72	0.5343700538
73	0.5328729649
74	0.5316076705
75	0.5301645184
76	0.5286097271
77	0.527681257
78	0.5264012142
79	0.5252018957
80	0.5243898946
81	0.5231508458
82	0.5221052001
83	0.5211233269
84	0.5199409016
85	0.5190395882
86	0.5178048299
87	0.5166900113
88	0.5156870763
89	0.5145419376
90	0.5142362805
91	0.5134268898
92	0.5123529169
93	0.5116419162
94	0.5104561883
95	0.5093972915
96	0.5082955163
97	0.5074879712
98	0.5064740991
99	0.5056321834
100	0.5046627814
101	0.5037547695
102	0.5024847124
103	0.5016744942
104	0.5007345514
105	0.4997849081
106	0.4989520006
107	0.4984011787
108	0.4974061731
109	0.4966370825
110	0.4958650635
111	0.4947810566
112	0.4938269446
113	0.4930065719
114	0.4920754333
115	0.4915517213
116	0.4907131025
117	0.4898430419
118	0.4889900137
119	0.4881061027
120	0.4872274798
121	0.486595139
122	0.4860902377
123	0.4849655984
124	0.4841929097
125	0.4832519803
126	0.4822755237
127	0.4815419094
128	0.4807486668
129	0.4799005319
130	0.4790372581
131	0.4784841081
132	0.4782242496
133	0.4774622336
134	0.4765436518
135	0.4759972245
136	0.4753657155
137	0.4749301914
138	0.4740440052
139	0.4733683189
140	0.4726536178
141	0.4718941483
142	0.4711749448
143	0.4703658708
144	0.4702008481
145	0.4696618191
146	0.4693224029
147	0.4686421318
148	0.4681276808
149	0.4674773719
150	0.466866254
151	0.4662633354
152	0.4654827398
153	0.4648980797
154	0.4641783624
155	0.4636398151
156	0.4631629264
157	0.4628130592
158	0.4619324083
159	0.461313807
160	0.4607486684
161	0.4602553132
162	0.4598380909
163	0.4593248179
164	0.4586522195
165	0.4579896378
166	0.4572810953
167	0.4571474886
168	0.4565426115
169	0.4560236951
170	0.455436112
171	0.4550599288
172	0.4547063592
173	0.4540631716
174	0.4536672533
175	0.4532387816
176	0.4526224184
177	0.4523853312
178	0.4518650237
179	0.4514374822
180	0.4510026832
181	0.4503809446
182	0.4498422482
183	0.4495321692
184	0.4491010658
185	0.4486382684
186	0.4480121957
187	0.44724267
188	0.4465735764
189	0.4460801212
190	0.4454529832
191	0.4451529354
192	0.4444928426
193	0.4440595405
194	0.4435662
195	0.4431447146
196	0.4425379583
197	0.4419169915
198	0.4414316949
199	0.4410137641
200	0.4406310362
201	0.4399469461
202	0.4392714994
203	0.4389086291
204	0.438464769
205	0.4379219246
206	0.4374144825
207	0.4369468331
208	0.4366012079
209	0.4361351833
210	0.4356375852
211	0.4351458375
212	0.4347642146
213	0.434393226
214	0.4338829594
215	0.4336207737
216	0.4332316278
217	0.4327466747
218	0.4321760371
219	0.4317747724
220	0.431374991
221	0.4307616513
222	0.4303800921
223	0.4299314559
224	0.4295399796
225	0.429142852
226	0.4287668668
227	0.4282532128
228	0.4278766259
229	0.4274950329
230	0.4271763863
231	0.4267032064
232	0.4261851112
233	0.425759839
234	0.4253623996
235	0.4248244023
236	0.424445314
237	0.4239011147
238	0.4234062139
239	0.4230153105
240	0.4227015679
241	0.4223916556
242	0.4220817447
243	0.4215997344
244	0.421325779
245	0.4209596611
246	0.4207410621
247	0.4204497451
248	0.4201323521
249	0.4198369219
250	0.4194422403
251	0.4191221526
252	0.418719126
253	0.4181807638
254	0.4177838143
255	0.4174247738
256	0.4168724944
257	0.4165131482
258	0.416086134
259	0.4156344288
260	0.415574131
261	0.4152550343
262	0.4149440584
263	0.4147286899
264	0.4144540362
265	0.4140061664
266	0.4136303419
267	0.4133367667
268	0.4130593072
269	0.4125698979
270	0.4124044943
271	0.4122900902
272	0.4120450956
273	0.4116109343
274	0.4112296633
275	0.4108503441
276	0.410447631
277	0.4099373009
278	0.4096032349
279	0.409281652
280	0.4090029096
281	0.4089582091
282	0.4086190544
283	0.4083545843
284	0.4080929348
285	0.4078304122
286	0.4076580277
287	0.4072009854
288	0.4068130513
289	0.4064169191
290	0.4062941645
291	0.4059696856
292	0.4056841453
293	0.4056512064
294	0.4051410138
295	0.4048380739
296	0.4046347433
297	0.4042518049
298	0.4038688233
299	0.4036011543
300	0.4033180341
301	0.4031581548
302	0.4028204032
303	0.4024700649
304	0.4020257581
305	0.401750719
306	0.4016658034
307	0.4013458088
308	0.4009608919
309	0.4007264004
310	0.4004213188
311	0.3999568873
312	0.3996050517
313	0.3993310458
314	0.398952842
315	0.3987297618
316	0.3983046027
317	0.3979927577
318	0.3977237578
319	0.3974592062
320	0.3970482863
321	0.3966952417
322	0.396638873
323	0.3964137939
324	0.3961645668
325	0.395814276
326	0.3955379948
327	0.3950934673
328	0.394789979
329	0.3944611635
330	0.3941512625
331	0.3938614752
